Hours since 00:00 Jan 1,price,fit
0,21.78,12.8
1,21.78,12.8
2,21.78,12.8
3,21.78,12.8
4,21.78,12.8
5,21.78,12.8
6,21.78,12.8
7,23.87,12.8
8,23.87,12.8
9,23.87,12.8
10,23.87,12.8
11,23.87,12.8
12,23.87,12.8
13,23.87,12.8
14,23.87,12.8
15,40.05,12.8
16,40.05,12.8
17,40.05,12.8
18,40.05,12.8
19,40.05,12.8
20,40.05,12.8
21,23.87,12.8
22,23.87,12.8
23,21.78,12.8
24,21.78,12.8
25,21.78,12.8
26,21.78,12.8
27,21.78,12.8
28,21.78,12.8
29,21.78,12.8
30,21.78,12.8
31,23.87,12.8
32,23.87,12.8
33,23.87,12.8
34,23.87,12.8
35,23.87,12.8
36,23.87,12.8
37,23.87,12.8
38,23.87,12.8
39,40.05,12.8
40,40.05,12.8
41,40.05,12.8
42,40.05,12.8
43,40.05,12.8
44,40.05,12.8
45,23.87,12.8
46,23.87,12.8
47,21.78,12.8
48,21.78,12.8
49,21.78,12.8
50,21.78,12.8
51,21.78,12.8
52,21.78,12.8
53,21.78,12.8
54,21.78,12.8
55,23.87,12.8
56,23.87,12.8
57,23.87,12.8
58,23.87,12.8
59,23.87,12.8
60,23.87,12.8
61,23.87,12.8
62,23.87,12.8
63,40.05,12.8
64,40.05,12.8
65,40.05,12.8
66,40.05,12.8
67,40.05,12.8
68,40.05,12.8
69,23.87,12.8
70,23.87,12.8
71,21.78,12.8
72,21.78,12.8
73,21.78,12.8
74,21.78,12.8
75,21.78,12.8
76,21.78,12.8
77,21.78,12.8
78,21.78,12.8
79,23.87,12.8
80,23.87,12.8
81,23.87,12.8
82,23.87,12.8
83,23.87,12.8
84,23.87,12.8
85,23.87,12.8
86,23.87,12.8
87,40.05,12.8
88,40.05,12.8
89,40.05,12.8
90,40.05,12.8
91,40.05,12.8
92,40.05,12.8
93,23.87,12.8
94,23.87,12.8
95,21.78,12.8
96,21.78,12.8
97,21.78,12.8
98,21.78,12.8
99,21.78,12.8
100,21.78,12.8
101,21.78,12.8
102,21.78,12.8
103,23.87,12.8
104,23.87,12.8
105,23.87,12.8
106,23.87,12.8
107,23.87,12.8
108,23.87,12.8
109,23.87,12.8
110,23.87,12.8
111,40.05,12.8
112,40.05,12.8
113,40.05,12.8
114,40.05,12.8
115,40.05,12.8
116,40.05,12.8
117,23.87,12.8
118,23.87,12.8
119,21.78,12.8
120,21.78,12.8
121,21.78,12.8
122,21.78,12.8
123,21.78,12.8
124,21.78,12.8
125,21.78,12.8
126,21.78,12.8
127,23.87,12.8
128,23.87,12.8
129,23.87,12.8
130,23.87,12.8
131,23.87,12.8
132,23.87,12.8
133,23.87,12.8
134,23.87,12.8
135,40.05,12.8
136,40.05,12.8
137,40.05,12.8
138,40.05,12.8
139,40.05,12.8
140,40.05,12.8
141,23.87,12.8
142,23.87,12.8
143,21.78,12.8
144,21.78,12.8
145,21.78,12.8
146,21.78,12.8
147,21.78,12.8
148,21.78,12.8
149,21.78,12.8
150,21.78,12.8
151,23.87,12.8
152,23.87,12.8
153,23.87,12.8
154,23.87,12.8
155,23.87,12.8
156,23.87,12.8
157,23.87,12.8
158,23.87,12.8
159,40.05,12.8
160,40.05,12.8
161,40.05,12.8
162,40.05,12.8
163,40.05,12.8
164,40.05,12.8
165,23.87,12.8
166,23.87,12.8
167,21.78,12.8
168,21.78,12.8
169,21.78,12.8
170,21.78,12.8
171,21.78,12.8
172,21.78,12.8
173,21.78,12.8
174,21.78,12.8
175,23.87,12.8
176,23.87,12.8
177,23.87,12.8
178,23.87,12.8
179,23.87,12.8
180,23.87,12.8
181,23.87,12.8
182,23.87,12.8
183,40.05,12.8
184,40.05,12.8
185,40.05,12.8
186,40.05,12.8
187,40.05,12.8
188,40.05,12.8
189,23.87,12.8
190,23.87,12.8
191,21.78,12.8
192,21.78,12.8
193,21.78,12.8
194,21.78,12.8
195,21.78,12.8
196,21.78,12.8
197,21.78,12.8
198,21.78,12.8
199,23.87,12.8
200,23.87,12.8
201,23.87,12.8
202,23.87,12.8
203,23.87,12.8
204,23.87,12.8
205,23.87,12.8
206,23.87,12.8
207,40.05,12.8
208,40.05,12.8
209,40.05,12.8
210,40.05,12.8
211,40.05,12.8
212,40.05,12.8
213,23.87,12.8
214,23.87,12.8
215,21.78,12.8
216,21.78,12.8
217,21.78,12.8
218,21.78,12.8
219,21.78,12.8
220,21.78,12.8
221,21.78,12.8
222,21.78,12.8
223,23.87,12.8
224,23.87,12.8
225,23.87,12.8
226,23.87,12.8
227,23.87,12.8
228,23.87,12.8
229,23.87,12.8
230,23.87,12.8
231,40.05,12.8
232,40.05,12.8
233,40.05,12.8
234,40.05,12.8
235,40.05,12.8
236,40.05,12.8
237,23.87,12.8
238,23.87,12.8
239,21.78,12.8
240,21.78,12.8
241,21.78,12.8
242,21.78,12.8
243,21.78,12.8
244,21.78,12.8
245,21.78,12.8
246,21.78,12.8
247,23.87,12.8
248,23.87,12.8
249,23.87,12.8
250,23.87,12.8
251,23.87,12.8
252,23.87,12.8
253,23.87,12.8
254,23.87,12.8
255,40.05,12.8
256,40.05,12.8
257,40.05,12.8
258,40.05,12.8
259,40.05,12.8
260,40.05,12.8
261,23.87,12.8
262,23.87,12.8
263,21.78,12.8
264,21.78,12.8
265,21.78,12.8
266,21.78,12.8
267,21.78,12.8
268,21.78,12.8
269,21.78,12.8
270,21.78,12.8
271,23.87,12.8
272,23.87,12.8
273,23.87,12.8
274,23.87,12.8
275,23.87,12.8
276,23.87,12.8
277,23.87,12.8
278,23.87,12.8
279,40.05,12.8
280,40.05,12.8
281,40.05,12.8
282,40.05,12.8
283,40.05,12.8
284,40.05,12.8
285,23.87,12.8
286,23.87,12.8
287,21.78,12.8
288,21.78,12.8
289,21.78,12.8
290,21.78,12.8
291,21.78,12.8
292,21.78,12.8
293,21.78,12.8
294,21.78,12.8
295,23.87,12.8
296,23.87,12.8
297,23.87,12.8
298,23.87,12.8
299,23.87,12.8
300,23.87,12.8
301,23.87,12.8
302,23.87,12.8
303,40.05,12.8
304,40.05,12.8
305,40.05,12.8
306,40.05,12.8
307,40.05,12.8
308,40.05,12.8
309,23.87,12.8
310,23.87,12.8
311,21.78,12.8
312,21.78,12.8
313,21.78,12.8
314,21.78,12.8
315,21.78,12.8
316,21.78,12.8
317,21.78,12.8
318,21.78,12.8
319,23.87,12.8
320,23.87,12.8
321,23.87,12.8
322,23.87,12.8
323,23.87,12.8
324,23.87,12.8
325,23.87,12.8
326,23.87,12.8
327,40.05,12.8
328,40.05,12.8
329,40.05,12.8
330,40.05,12.8
331,40.05,12.8
332,40.05,12.8
333,23.87,12.8
334,23.87,12.8
335,21.78,12.8
336,21.78,12.8
337,21.78,12.8
338,21.78,12.8
339,21.78,12.8
340,21.78,12.8
341,21.78,12.8
342,21.78,12.8
343,23.87,12.8
344,23.87,12.8
345,23.87,12.8
346,23.87,12.8
347,23.87,12.8
348,23.87,12.8
349,23.87,12.8
350,23.87,12.8
351,40.05,12.8
352,40.05,12.8
353,40.05,12.8
354,40.05,12.8
355,40.05,12.8
356,40.05,12.8
357,23.87,12.8
358,23.87,12.8
359,21.78,12.8
360,21.78,12.8
361,21.78,12.8
362,21.78,12.8
363,21.78,12.8
364,21.78,12.8
365,21.78,12.8
366,21.78,12.8
367,23.87,12.8
368,23.87,12.8
369,23.87,12.8
370,23.87,12.8
371,23.87,12.8
372,23.87,12.8
373,23.87,12.8
374,23.87,12.8
375,40.05,12.8
376,40.05,12.8
377,40.05,12.8
378,40.05,12.8
379,40.05,12.8
380,40.05,12.8
381,23.87,12.8
382,23.87,12.8
383,21.78,12.8
384,21.78,12.8
385,21.78,12.8
386,21.78,12.8
387,21.78,12.8
388,21.78,12.8
389,21.78,12.8
390,21.78,12.8
391,23.87,12.8
392,23.87,12.8
393,23.87,12.8
394,23.87,12.8
395,23.87,12.8
396,23.87,12.8
397,23.87,12.8
398,23.87,12.8
399,40.05,12.8
400,40.05,12.8
401,40.05,12.8
402,40.05,12.8
403,40.05,12.8
404,40.05,12.8
405,23.87,12.8
406,23.87,12.8
407,21.78,12.8
408,21.78,12.8
409,21.78,12.8
410,21.78,12.8
411,21.78,12.8
412,21.78,12.8
413,21.78,12.8
414,21.78,12.8
415,23.87,12.8
416,23.87,12.8
417,23.87,12.8
418,23.87,12.8
419,23.87,12.8
420,23.87,12.8
421,23.87,12.8
422,23.87,12.8
423,40.05,12.8
424,40.05,12.8
425,40.05,12.8
426,40.05,12.8
427,40.05,12.8
428,40.05,12.8
429,23.87,12.8
430,23.87,12.8
431,21.78,12.8
432,21.78,12.8
433,21.78,12.8
434,21.78,12.8
435,21.78,12.8
436,21.78,12.8
437,21.78,12.8
438,21.78,12.8
439,23.87,12.8
440,23.87,12.8
441,23.87,12.8
442,23.87,12.8
443,23.87,12.8
444,23.87,12.8
445,23.87,12.8
446,23.87,12.8
447,40.05,12.8
448,40.05,12.8
449,40.05,12.8
450,40.05,12.8
451,40.05,12.8
452,40.05,12.8
453,23.87,12.8
454,23.87,12.8
455,21.78,12.8
456,21.78,12.8
457,21.78,12.8
458,21.78,12.8
459,21.78,12.8
460,21.78,12.8
461,21.78,12.8
462,21.78,12.8
463,23.87,12.8
464,23.87,12.8
465,23.87,12.8
466,23.87,12.8
467,23.87,12.8
468,23.87,12.8
469,23.87,12.8
470,23.87,12.8
471,40.05,12.8
472,40.05,12.8
473,40.05,12.8
474,40.05,12.8
475,40.05,12.8
476,40.05,12.8
477,23.87,12.8
478,23.87,12.8
479,21.78,12.8
480,21.78,12.8
481,21.78,12.8
482,21.78,12.8
483,21.78,12.8
484,21.78,12.8
485,21.78,12.8
486,21.78,12.8
487,23.87,12.8
488,23.87,12.8
489,23.87,12.8
490,23.87,12.8
491,23.87,12.8
492,23.87,12.8
493,23.87,12.8
494,23.87,12.8
495,40.05,12.8
496,40.05,12.8
497,40.05,12.8
498,40.05,12.8
499,40.05,12.8
500,40.05,12.8
501,23.87,12.8
502,23.87,12.8
503,21.78,12.8
504,21.78,12.8
505,21.78,12.8
506,21.78,12.8
507,21.78,12.8
508,21.78,12.8
509,21.78,12.8
510,21.78,12.8
511,23.87,12.8
512,23.87,12.8
513,23.87,12.8
514,23.87,12.8
515,23.87,12.8
516,23.87,12.8
517,23.87,12.8
518,23.87,12.8
519,40.05,12.8
520,40.05,12.8
521,40.05,12.8
522,40.05,12.8
523,40.05,12.8
524,40.05,12.8
525,23.87,12.8
526,23.87,12.8
527,21.78,12.8
528,21.78,12.8
529,21.78,12.8
530,21.78,12.8
531,21.78,12.8
532,21.78,12.8
533,21.78,12.8
534,21.78,12.8
535,23.87,12.8
536,23.87,12.8
537,23.87,12.8
538,23.87,12.8
539,23.87,12.8
540,23.87,12.8
541,23.87,12.8
542,23.87,12.8
543,40.05,12.8
544,40.05,12.8
545,40.05,12.8
546,40.05,12.8
547,40.05,12.8
548,40.05,12.8
549,23.87,12.8
550,23.87,12.8
551,21.78,12.8
552,21.78,12.8
553,21.78,12.8
554,21.78,12.8
555,21.78,12.8
556,21.78,12.8
557,21.78,12.8
558,21.78,12.8
